date,victimization_primary,incident_primary,gunshot_injury_i,community_area,age,sex,race,location_description,latitude,longitude
2026-02-17 12:15:00,HOMICIDE,HOMICIDE,YES,,20-29,F,WWH,STREET,,
2026-02-16 23:00:00,ROBBERY,ROBBERY,YES,WEST PULLMAN,0-19,M,BLK,SIDEWALK,41.6632716541419,-87.6272753461203
2026-02-16 20:41:00,BATTERY,BATTERY,YES,LOOP,0-19,M,BLK,SIDEWALK,41.8835183458581,-87.6264453461203
2026-02-16 05:02:00,BATTERY,BATTERY,YES,AUBURN GRESHAM,40-49,F,BLK,ALLEY,41.7454830958581,-87.6639809413008
2026-02-16 02:24:00,BATTERY,BATTERY,YES,DOUGLAS,20-29,M,BLK,STREET,41.8291705,-87.62675
2026-02-15 23:19:00,HOMICIDE,HOMICIDE,YES,ENGLEWOOD,0-19,M,BLK,STREET,41.7831430958581,-87.6406909413008
2026-02-15 19:24:00,BATTERY,BATTERY,YES,BRIGHTON PARK,30-39,M,WBH,RESIDENCE - YARD (FRONT / BACK),41.8197716541419,-87.6967853461203
2026-02-15 18:15:00,BATTERY,BATTERY,YES,WEST RIDGE,0-19,M,API,STREET,41.9919169041419,-87.6941809413008
2026-02-15 18:15:00,BATTERY,BATTERY,YES,WEST RIDGE,0-19,M,API,STREET,41.9919169041419,-87.6941809413008
2026-02-15 16:00:00,BATTERY,BATTERY,YES,ROGERS PARK,0-19,M,BLK,STREET,42.0218030958581,-87.6726609413008
2026-02-14 23:30:00,BATTERY,BATTERY,YES,WEST ENGLEWOOD,30-39,M,WWH,STREET,41.7612116541419,-87.6707246538796
2026-02-14 17:40:00,BATTERY,BATTERY,YES,ALBANY PARK,20-29,M,WWH,PARK PROPERTY,41.9727330958581,-87.7034709413008
2026-02-14 17:00:00,BATTERY,BATTERY,YES,EAST GARFIELD PARK,30-39,M,BLK,STREET,41.8757116541419,-87.6934646538796
2026-02-14 10:40:00,BATTERY,BATTERY,YES,,30-39,M,WWH,STREET,,
2026-02-14 03:34:00,BATTERY,BATTERY,YES,SOUTH DEERING,0-19,M,BLK,STREET,41.7156116541419,-87.5688046538796
2026-02-13 19:33:00,BATTERY,BATTERY,YES,NEW CITY,0-19,M,WWH,STREET,41.8119030958581,-87.6703190586992
2026-02-11 23:50:00,BATTERY,BATTERY,YES,NEW CITY,20-29,M,WWH,STREET,41.7964130958581,-87.6462790586992
2026-02-11 20:03:00,HOMICIDE,HOMICIDE,YES,BRIGHTON PARK,40-49,F,API,APARTMENT,41.8103169041419,-87.7015009413008
2026-02-11 04:15:00,HOMICIDE,HOMICIDE,YES,,40-49,M,BLK,STREET,,
2026-02-11 03:56:00,HOMICIDE,HOMICIDE,YES,,20-29,M,WWH,STREET,,
2026-02-09 08:37:00,HOMICIDE,HOMICIDE,YES,AUSTIN,20-29,M,BLK,STREET,41.8867483458581,-87.7457946538796
2026-02-08 22:05:00,BATTERY,BATTERY,YES,CHATHAM,30-39,M,BLK,ALLEY,41.7301716541419,-87.6049653461203
2026-02-08 22:05:00,BATTERY,BATTERY,YES,CHATHAM,20-29,M,BLK,ALLEY,41.7301716541419,-87.6049653461203
2026-02-08 17:38:00,BATTERY,BATTERY,YES,,20-29,F,BLK,GAS STATION,,
2026-02-08 17:37:00,BATTERY,BATTERY,YES,RIVERDALE,20-29,M,BLK,APARTMENT,41.6542030958581,-87.6177509413008
2026-02-08 09:25:00,BATTERY,BATTERY,YES,WEST ENGLEWOOD,40-49,M,WWH,STREET,41.7790716541419,-87.6649046538796
2026-02-07 21:21:00,BATTERY,BATTERY,YES,BRIGHTON PARK,0-19,M,WWH,SIDEWALK,41.8110905,-87.70055
2026-02-07 19:09:00,BATTERY,BATTERY,YES,SOUTH SHORE,30-39,M,BLK,SIDEWALK,41.7661716541419,-87.5751446538797
2026-02-07 15:04:00,BATTERY,BATTERY,YES,ROSELAND,40-49,M,WWH,STREET,41.6980569041419,-87.6188290586992
2026-02-07 15:04:00,BATTERY,BATTERY,YES,ROSELAND,30-39,M,WHI,STREET,41.6980569041419,-87.6188290586992
2026-02-07 05:47:00,BATTERY,BATTERY,YES,ALBANY PARK,30-39,M,WWH,SIDEWALK,41.9641416541419,-87.7086353461203
2026-02-06 22:35:00,BATTERY,BATTERY,YES,AUSTIN,20-29,F,BLK,STREET,41.8946369041419,-87.7544990586992
2026-02-06 17:40:00,HOMICIDE,HOMICIDE,YES,CHATHAM,50-59,M,BLK,APARTMENT,41.7491883458581,-87.6118646538797
2026-02-06 04:29:00,HOMICIDE,HOMICIDE,YES,ROSELAND,20-29,M,BLK,STREET,41.6986696689467,-87.6289385474708
2026-02-05 19:33:00,HOMICIDE,HOMICIDE,YES,WEST RIDGE,30-39,F,BLK,APARTMENT,42.0086696689467,-87.6860185474708
2026-02-05 16:11:00,BATTERY,BATTERY,YES,SOUTH SHORE,0-19,M,BLK,SIDEWALK,41.7635083458581,-87.5771153461203
2026-02-05 15:30:00,HOMICIDE,HOMICIDE,YES,SOUTH DEERING,20-29,M,BLK,HOUSE,41.7144416541419,-87.5700253461203
2026-02-04 23:15:00,BATTERY,BATTERY,YES,ASHBURN,30-39,M,WWH,STREET,41.7400616541419,-87.7213246538797
2026-02-04 20:53:00,BATTERY,BATTERY,YES,,20-29,M,WWH,STREET,,
2026-02-04 17:19:00,BATTERY,BATTERY,YES,AUSTIN,20-29,M,BLK,SIDEWALK,41.8955430958581,-87.7554690586992
2026-02-04 13:25:00,HOMICIDE,HOMICIDE,YES,AUBURN GRESHAM,20-29,F,BLK,AUTO,41.7499269041419,-87.6521109413008
2026-02-04 13:25:00,NON-FATAL,HOMICIDE,YES,AUBURN GRESHAM,20-29,M,BLK,AUTO,41.7499269041419,-87.6521109413008
2026-02-04 11:20:00,HOMICIDE,HOMICIDE,YES,WEST GARFIELD PARK,30-39,M,BLK,STREET,41.8787969041419,-87.7230609413008
2026-02-03 20:16:00,BATTERY,BATTERY,YES,WEST PULLMAN,20-29,M,BLK,SIDEWALK,41.6801196689467,-87.6332285474708
2026-02-03 18:51:00,BATTERY,BATTERY,YES,AUSTIN,0-19,M,BLK,STREET,41.8979296689467,-87.7541485474708
2026-02-03 16:42:00,HOMICIDE,HOMICIDE,YES,,40-49,M,BLK,AUTO,,
2026-02-03 13:20:00,BATTERY,HOMICIDE,YES,NEAR WEST SIDE,40-49,M,BLK,PARKING LOT,41.8662369041419,-87.6854609413008
2026-02-03 13:20:00,HOMICIDE,HOMICIDE,YES,NEAR WEST SIDE,30-39,M,BLK,PARKING LOT,41.8662369041419,-87.6854609413008
2026-02-03 13:20:00,HOMICIDE,HOMICIDE,YES,NEAR WEST SIDE,50-59,M,BLK,PARKING LOT,41.8662369041419,-87.6854609413008
2026-02-03 03:15:00,BATTERY,BATTERY,YES,SOUTH CHICAGO,40-49,M,BLK,APARTMENT,41.7360369041419,-87.5462390586992
2026-02-03 02:45:00,BATTERY,BATTERY,YES,SOUTH SHORE,0-19,M,BLK,APARTMENT,41.7735983458581,-87.5699846538796
2026-02-03 02:45:00,BATTERY,BATTERY,YES,SOUTH SHORE,0-19,M,BLK,APARTMENT,41.7735983458581,-87.5699846538796
2026-02-03 00:00:00,BATTERY,BATTERY,YES,HERMOSA,30-39,M,WWH,STREET,41.9245516541419,-87.7326146538797
2026-02-01 15:40:00,BATTERY,BATTERY,YES,,20-29,M,BLK,STREET,,
2026-02-01 03:20:00,BATTERY,BATTERY,YES,NORTH CENTER,30-39,M,WWH,STREET,41.9412330958581,-87.6875309413008
2026-01-31 23:20:00,BATTERY,BATTERY,YES,CHICAGO LAWN,30-39,M,BLK,OTHER (SPECIFY),41.7784169041419,-87.6997809413008
2026-01-31 15:19:00,BATTERY,BATTERY,YES,HUMBOLDT PARK,0-19,M,BLK,CTA BUS,41.8950716541419,-87.7267053461203
2026-01-31 15:19:00,BATTERY,BATTERY,YES,HUMBOLDT PARK,0-19,M,BLK,CTA BUS,41.8950716541419,-87.7267053461203
2026-01-31 14:20:00,BATTERY,BATTERY,YES,AUSTIN,70-79,F,BLK,SIDEWALK,41.8800416541419,-87.7582353461203
2026-01-31 14:20:00,BATTERY,BATTERY,YES,AUSTIN,30-39,M,BLK,SIDEWALK,41.8800416541419,-87.7582353461203
2026-01-31 14:20:00,BATTERY,BATTERY,YES,AUSTIN,60-69,M,BLK,SIDEWALK,41.8800416541419,-87.7582353461203
2026-01-30 16:55:00,HOMICIDE,HOMICIDE,YES,WEST GARFIELD PARK,30-39,M,BLK,STREET,41.8713416541419,-87.7247846538796
2026-01-30 11:14:00,HOMICIDE,HOMICIDE,YES,AUSTIN,30-39,M,BLK,STREET,41.8892616541419,-87.7468353461203
2026-01-30 01:00:00,BATTERY,BATTERY,YES,WEST PULLMAN,30-39,M,BLK,RESIDENCE,41.6757530958581,-87.6332709413008
2026-01-30 00:50:00,BATTERY,BATTERY,YES,AUBURN GRESHAM,20-29,F,BLK,APARTMENT,41.7515669041419,-87.6636309413008
2026-01-29 22:16:00,BATTERY,BATTERY,YES,ENGLEWOOD,30-39,M,BLK,GAS STATION,41.7796616541419,-87.6325853461203
2026-01-29 22:16:00,BATTERY,BATTERY,YES,ENGLEWOOD,30-39,M,BLK,GAS STATION,41.7796616541419,-87.6325853461203
2026-01-29 22:13:00,BATTERY,BATTERY,YES,MCKINLEY PARK,0-19,M,BLK,STREET,41.8280683458581,-87.6590346538796
2026-01-29 20:41:00,HOMICIDE,HOMICIDE,YES,WASHINGTON PARK,30-39,M,BLK,STREET,41.7947130958581,-87.6241909413008
2026-01-29 18:13:00,BATTERY,BATTERY,YES,AUSTIN,0-19,M,BLK,ALLEY,41.8804883458581,-87.7680046538796
2026-01-29 18:13:00,BATTERY,BATTERY,YES,AUSTIN,20-29,F,BLK,ALLEY,41.8804883458581,-87.7680046538796
2026-01-29 14:05:00,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,20-29,M,BLK,RESTAURANT,41.7649269041419,-87.6238690586992
2026-01-29 09:20:00,BATTERY,BATTERY,YES,SOUTH DEERING,20-29,M,BLK,STREET,41.7126316541419,-87.5627453461203
2026-01-29 09:00:00,BATTERY,BATTERY,YES,WEST ENGLEWOOD,20-29,M,WWH,STREET,41.7790696689467,-87.6666685474708
2026-01-28 20:29:00,BATTERY,BATTERY,YES,,20-29,M,BLK,STREET,,
2026-01-28 19:36:00,BATTERY,BATTERY,YES,CALUMET HEIGHTS,70-79,F,WHI,STREET,41.7256369041419,-87.5593309413008
2026-01-28 19:36:00,BATTERY,BATTERY,YES,CALUMET HEIGHTS,30-39,F,BLK,STREET,41.7256369041419,-87.5593309413008
2026-01-28 13:00:00,BATTERY,BATTERY,YES,NEW CITY,40-49,M,BLK,STREET,41.7966030958581,-87.6480309413008
2026-01-27 22:05:00,HOMICIDE,HOMICIDE,NO,ROSELAND,40-49,F,BLK,HOUSE,41.7092216541419,-87.6229846538796
2026-01-27 21:11:00,BATTERY,BATTERY,YES,ENGLEWOOD,20-29,M,BLK,STREET,41.7691530958581,-87.6446290586992
2026-01-26 16:45:00,NON-FATAL,HOMICIDE,YES,AUBURN GRESHAM,40-49,F,WHI,STREET,41.7397685058581,-87.6508795813008
2026-01-26 16:45:00,HOMICIDE,HOMICIDE,YES,AUBURN GRESHAM,30-39,M,BLK,STREET,41.7397685058581,-87.6508795813008
2026-01-26 16:45:00,NON-FATAL,HOMICIDE,YES,AUBURN GRESHAM,20-29,M,BLK,STREET,41.7397685058581,-87.6508795813008
2026-01-26 04:15:00,BATTERY,BATTERY,YES,BRIGHTON PARK,60-69,M,WWH,STREET,41.8079169041419,-87.6925209413008
2026-01-25 22:22:00,BATTERY,BATTERY,YES,WEST GARFIELD PARK,20-29,M,BLK,STREET,41.8771783458581,-87.7261253461203
2026-01-25 22:22:00,BATTERY,BATTERY,YES,WEST GARFIELD PARK,20-29,M,BLK,STREET,41.8771783458581,-87.7261253461203
2026-01-25 13:27:00,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,20-29,F,BLK,APARTMENT,41.7642196689467,-87.6220985474708
2026-01-25 01:33:00,BATTERY,BATTERY,YES,AUSTIN,40-49,M,BLK,RESIDENCE,41.9131169041419,-87.7852690586992
2026-01-24 21:16:00,BATTERY,BATTERY,YES,NEW CITY,20-29,M,WWH,STREET,41.8058396689467,-87.6560885474708
2026-01-24 17:58:00,BATTERY,BATTERY,YES,AUBURN GRESHAM,0-19,M,BLK,SIDEWALK,41.7365983458581,-87.6609353461203
2026-01-24 03:00:00,BATTERY,BATTERY,YES,ENGLEWOOD,40-49,M,BLK,STREET,41.7651283458581,-87.6489746538797
2026-01-23 20:58:00,HOMICIDE,HOMICIDE,YES,HUMBOLDT PARK,30-39,M,WWH,STREET,41.9113505,-87.71403
2026-01-23 19:44:00,BATTERY,BATTERY,YES,CHATHAM,20-29,F,BLK,APARTMENT,41.7498869041419,-87.6019390586992
2026-01-23 19:10:00,BATTERY,BATTERY,YES,HEGEWISCH,20-29,M,BLK,STREET,41.6514616541419,-87.5353153461203
2026-01-23 14:18:00,BATTERY,BATTERY,YES,NORTH LAWNDALE,0-19,M,WWH,STREET,41.8607683458581,-87.7255953461203
2026-01-23 11:00:00,BATTERY,BATTERY,YES,NORTH LAWNDALE,50-59,M,BLK,PARKING LOT / GARAGE (NON RESIDENTIAL),41.8511669041419,-87.7240509413008
2026-01-22 14:20:00,ROBBERY,ROBBERY,YES,,30-39,M,BLK,ALLEY,,
2026-01-21 22:10:00,BATTERY,BATTERY,YES,RIVERDALE,0-19,M,BLK,RESIDENCE - YARD (FRONT / BACK),41.6574469041419,-87.6029909413008
2026-01-21 11:50:00,BATTERY,BATTERY,YES,,30-39,F,BLK,STREET,,
2026-01-20 21:29:00,BATTERY,BATTERY,YES,WEST ENGLEWOOD,20-29,M,BLK,STREET,41.7600483458581,-87.6569246538796
2026-01-20 19:20:00,BATTERY,BATTERY,YES,GARFIELD RIDGE,0-19,M,WWH,ALLEY,41.8058416541419,-87.7473653461203
2026-01-20 17:32:00,HOMICIDE,HOMICIDE,YES,LOWER WEST SIDE,20-29,M,WWH,PARKING LOT,41.8496069041419,-87.6857309413008
2026-01-20 16:05:00,ROBBERY,ROBBERY,YES,EAST GARFIELD PARK,40-49,M,BLK,GAS STATION,41.8728769041419,-87.7193309413008
2026-01-20 16:05:00,ROBBERY,ROBBERY,YES,EAST GARFIELD PARK,40-49,M,BLK,GAS STATION,41.8728769041419,-87.7193309413008
2026-01-20 08:15:00,BATTERY,BATTERY,YES,SOUTH SHORE,30-39,M,BLK,RESIDENCE,41.7733196689467,-87.5740385474708
2026-01-20 00:54:00,BATTERY,BATTERY,YES,NEW CITY,40-49,M,BLK,APARTMENT,41.8001430958581,-87.6461209413008
2026-01-20 00:39:00,BATTERY,BATTERY,YES,CHICAGO LAWN,20-29,M,WWH,STREET,41.7831316541419,-87.7084046538796
2026-01-19 17:35:00,HOMICIDE,HOMICIDE,YES,SOUTH LAWNDALE,20-29,M,WWH,STREET,41.8500216541419,-87.6987546538797
2026-01-18 21:38:00,HOMICIDE,HOMICIDE,YES,,0-19,F,WWH,AUTO,,
2026-01-18 21:17:00,HOMICIDE,HOMICIDE,YES,WEST PULLMAN,30-39,M,BLK,STREET,41.6796030958581,-87.6184790586992
2026-01-18 18:30:00,HOMICIDE,HOMICIDE,YES,AUSTIN,0-19,M,WWH,STREET,41.8978730958581,-87.7720990586992
2026-01-18 17:00:00,BATTERY,BATTERY,YES,AUBURN GRESHAM,UNKNOWN,M,BLK,STREET,41.7512969041419,-87.6460809413008
